TeamName,Conference,PlayoffRank,SEASON,W_PCT,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,AST,REB,TOV,STL,BLK,AllStar_count,Finals_Appearances_Last5,ChampionNumber,Label
Suns,West,4,2000,0.646,428.0,0.457,0.368,0.759,2098,3580,1368.0,744,433,1,0,0,0
Hornets,East,4,2000,0.598,219.0,0.449,0.339,0.758,2023,3519,1206.0,732,480,1,0,0,0
Timberwolves,West,6,2000,0.61,207.0,0.467,0.346,0.78,2205,3487,1139.0,622,444,1,0,0,0
Raptors,East,6,2000,0.549,-13.0,0.433,0.363,0.765,1947,3547,1137.0,666,544,1,0,0,0
Bucks,East,7,2000,0.512,18.0,0.465,0.369,0.786,1852,3389,1230.0,671,381,2,0,1,0
SuperSonics,West,7,2000,0.549,78.0,0.447,0.339,0.695,1878,3525,1152.0,657,345,1,1,1,0
Pistons,East,7,2000,0.512,118.0,0.459,0.359,0.781,1707,3375,1288.0,665,273,2,0,2,0
Kings,West,8,2000,0.537,239.0,0.45,0.322,0.754,1953,3691,1325.0,787,381,1,0,1,0
76ers,East,1,2001,0.683,351.0,0.447,0.326,0.745,1692,3675,1292.0,690,408,1,0,3,0
Spurs,West,1,2001,0.707,636.0,0.461,0.407,0.715,1778,3614,1145.0,568,576,2,1,1,0
Lakers,West,2,2001,0.683,277.0,0.465,0.344,0.683,1888,3668,1184.0,564,490,1,1,12,1
Bucks,East,2,2001,0.634,318.0,0.458,0.379,0.787,1844,3475,1123.0,672,386,2,0,1,0
Heat,East,3,2001,0.61,188.0,0.43,0.345,0.759,1630,3248,1122.0,633,304,1,0,0,0
Kings,West,3,2001,0.671,477.0,0.449,0.354,0.771,1852,3692,1221.0,793,432,2,0,1,0
Mavericks,West,4,2001,0.646,351.0,0.459,0.381,0.794,1740,3402,1141.0,618,492,1,0,0,0
Knicks,East,4,2001,0.585,216.0,0.444,0.351,0.796,1520,3297,1189.0,545,346,2,1,2,0
Jazz,West,4,2001,0.646,385.0,0.471,0.381,0.752,2111,3326,1297.0,661,463,1,2,0,0
Raptors,East,5,2001,0.573,185.0,0.437,0.369,0.747,2004,3647,1080.0,599,519,2,0,0,0
Suns,West,6,2001,0.622,181.0,0.436,0.315,0.755,1905,3499,1251.0,775,429,1,0,0,0
Hornets,East,6,2001,0.561,172.0,0.431,0.346,0.745,1900,3641,1183.0,665,455,0,0,0,0
Magic,East,7,2001,0.524,81.0,0.438,0.364,0.714,1803,3519,1245.0,674,481,1,0,0,0
Trail Blazers,West,7,2001,0.61,344.0,0.468,0.349,0.762,1963,3440,1257.0,672,419,1,0,1,0
Timberwolves,West,8,2001,0.573,111.0,0.458,0.357,0.785,2083,3472,1136.0,682,456,1,0,0,0
Pacers,East,8,2001,0.5,-16.0,0.44,0.342,0.766,1763,3516,1244.0,563,487,0,1,0,0
Nets,East,1,2002,0.634,341.0,0.446,0.338,0.735,1990,3554,1189.0,716,490,1,0,0,0
Kings,West,1,2002,0.744,624.0,0.467,0.367,0.751,1959,3715,1128.0,741,375,2,0,1,0
Spurs,West,2,2002,0.707,509.0,0.458,0.362,0.742,1643,3473,1180.0,625,537,1,1,1,0
Pistons,East,2,2002,0.61,175.0,0.452,0.376,0.756,1765,3177,1193.0,648,565,0,0,2,0
Celtics,East,3,2002,0.598,181.0,0.424,0.359,0.764,1722,3461,1114.0,793,292,2,0,16,0
Lakers,West,3,2002,0.707,584.0,0.461,0.354,0.699,1882,3629,1040.0,625,478,1,2,13,1
Mavericks,West,4,2002,0.695,349.0,0.462,0.378,0.806,1811,3486,992.0,581,392,2,0,0,0
Hornets,East,4,2002,0.537,79.0,0.44,0.348,0.745,1759,3564,1150.0,653,456,1,0,0,0
Timberwolves,West,5,2002,0.61,277.0,0.461,0.378,0.798,1993,3621,1097.0,524,427,2,0,0,0
